  just opened iu,energy_spread_in_name= 11 energy_spread.in
  about to do namelist read  u= 11
 seed=    43401053
 i_sqrts=         500
 n_single_file=           1
 single_file_name=
 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
  
  ifile,grid_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.grd                                              
  ifile,hbook_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.hbk                                              
  
  ifile= 1  about to open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 ifile,nrec,ndiv= 1 542852 100
  ifile= 1  about to again open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 i,egev(:,i= 15600 252.673782 252.697433
 i,egev(:,i= 15700 253.001221 252.751816
 i,egev(:,i= 15800 252.852905 250.776917
 i,egev(:,i= 15900 253.143219 238.725510
 i,egev(:,i= 16000 250.615540 252.716080
 i,egev(:,i= 16100 251.643066 252.417999
 i,egev(:,i= 16200 253.418655 252.536255
 i,egev(:,i= 16300 251.935669 252.656311
 i,egev(:,i= 16400 252.158066 252.800369
 i,egev(:,i= 16500 253.190765 250.357132
 i,egev(:,i= 16600 253.354614 252.703461
 i,egev(:,i= 16700 251.928619 252.720810
 i,egev(:,i= 16800 248.786377 252.707520
 i,egev(:,i= 16900 252.458389 231.298889
 i,egev(:,i= 17000 252.401367 246.254517
 i,egev(:,i= 17100 250.344315 252.666382
 i,egev(:,i= 17200 252.225250 215.285828
 i,egev(:,i= 17300 253.246902 251.057968
 i,egev(:,i= 17400 253.239502 252.389191
 i,egev(:,i= 17500 252.701599 252.928406
 i,egev(:,i= 17600 252.603592 252.732193
 i,egev(:,i= 17700 252.635529 251.173599
 i,egev(:,i= 17800 252.613708 249.493347
 i,egev(:,i= 17900 253.161697 243.203003
 i,egev(:,i= 18000 252.678589 252.799789
 i,egev(:,i= 18100 252.467728 252.926743
 i,egev(:,i= 18200 253.107025 250.027893
 i,egev(:,i= 18300 252.105270 252.104706
 i,egev(:,i= 18400 252.301987 252.599243
 i,egev(:,i= 18500 234.285736 252.792923
 i,egev(:,i= 18600 250.189957 252.433014
 i,egev(:,i= 18700 252.804352 252.631943
 i,egev(:,i= 18800 252.421738 251.353775
 i,egev(:,i= 18900 249.119461 252.810638
 i,egev(:,i= 19000 252.811096 252.905228
 i,egev(:,i= 19100 252.244064 252.680023
 i,egev(:,i= 19200 252.907990 252.775284
 i,egev(:,i= 19300 249.865662 252.788254
 i,egev(:,i= 19400 237.323212 252.725403
